序号,模板时间段,附件时间,电价(元/kWh),负载功率(kW),光伏功率(kW),购电功率(kW),购电量(kWh),充电功率(kW),充电量(kWh),放电功率(kW),放电量(kWh),弃光功率(kW),弃光量(kWh),时段初储电量(kWh),时段末储电量(kWh),购电费(元)
1,0:10-0:20,00:10:00,0.4248,3439.8466,0.0,8439.8466,1406.6411,5000.0,833.3333333333333,0.0,0.0,0.0,0.0,6000.0,6750.0,597.54113928
2,0:20-0:30,00:20:00,0.4245,3437.9792,0.0,8437.9792,1406.3298666666665,5000.0,833.3333333333333,0.0,0.0,0.0,0.0,6750.0,7500.0,596.9870283999999
3,0:30-0:40,00:30:00,0.4269,3444.3031,0.0,8444.303100000001,1407.3838500000002,5000.0,833.3333333333333,0.0,0.0,0.0,0.0,7500.0,8250.0,600.812165565
4,0:40-0:50,00:40:00,0.4272,3454.4437,0.0,8454.4437,1409.07395,5000.0,833.3333333333333,0.0,0.0,0.0,0.0,8250.0,9000.0,601.95639144
5,0:50-1:00,00:50:00,0.4271,3458.8273,0.0,8458.8273,1409.80455,5000.0,833.3333333333333,0.0,0.0,0.0,0.0,9000.0,9750.0,602.1275233050001
6,1:00-1:10,01:00:00,0.4285,3459.8401,0.0,3459.8401,576.6400166666666,0.0,0.0,0.0,0.0,0.0,0.0,9750.0,9750.0,247.09024714166665
7,1:10-1:20,01:10:00,0.4311,3467.1582,0.0,3467.1582,577.8597,0.0,0.0,0.0,0.0,0.0,0.0,9750.0,9750.0,249.11531666999997
8,1:20-1:30,01:20:00,0.4302,3467.9632,0.0,3467.9632,577.9938666666667,0.0,0.0,0.0,0.0,0.0,0.0,9750.0,9750.0,248.65296144
9,1:30-1:40,01:30:00,0.4279,3466.9683,0.0,5466.9683,911.1613833333333,2000.0,333.3333333333333,0.0,0.0,0.0,0.0,9750.0,10050.0,389.8859559283333
10,1:40-1:50,01:40:00,0.4312,3482.4927,0.0,3482.4927,580.41545,0.0,0.0,0.0,0.0,0.0,0.0,10050.0,10050.0,250.27514204
11,1:50-2:00,01:50:00,0.4333,3495.0841,0.0,3495.0841,582.5140166666666,0.0,0.0,0.0,0.0,0.0,0.0,10050.0,10050.0,252.40332342166667
12,2:00-2:10,02:00:00,0.4311,3498.4443,0.0,3498.4443,583.0740499999999,0.0,0.0,0.0,0.0,0.0,0.0,10050.0,10050.0,251.363222955
13,2:10-2:20,02:10:00,0.4293,3505.2295,0.0,3505.2295,584.2049166666666,0.0,0.0,0.0,0.0,0.0,0.0,10050.0,10050.0,250.79917072499998
14,2:20-2:30,02:20:00,0.4324,3512.6387,0.0,3512.6387,585.4397833333333,0.0,0.0,0.0,0.0,0.0,0.0,10050.0,10050.0,253.1441623133333
15,2:30-2:40,02:30:00,0.4367,3516.8685,0.0,3516.8685,586.1447499999999,0.0,0.0,0.0,0.0,0.0,0.0,10050.0,10050.0,255.969412325
16,2:40-2:50,02:40:00,0.4348,3517.9246,0.0,3517.9246,586.3207666666666,0.0,0.0,0.0,0.0,0.0,0.0,10050.0,10050.0,254.93226934666666
17,2:50-3:00,02:50:00,0.4335,3518.5518,0.0,3518.5518,586.4253,0.0,0.0,0.0,0.0,0.0,0.0,10050.0,10050.0,254.21536755
18,3:00-3:10,03:00:00,0.4357,3521.0976,0.0,3521.0976,586.8496,0.0,0.0,0.0,0.0,0.0,0.0,10050.0,10050.0,255.69037071999998
19,3:10-3:20,03:10:00,0.4374,3526.9261,0.0,3526.9261,587.8210166666667,0.0,0.0,0.0,0.0,0.0,0.0,10050.0,10050.0,257.11291269000003
20,3:20-3:30,03:20:00,0.4371,3537.2854,0.0,3537.2854,589.5475666666666,0.0,0.0,0.0,0.0,0.0,0.0,10050.0,10050.0,257.69124138999996
21,3:30-3:40,03:30:00,0.4356,3544.8808,0.0,3544.8808,590.8134666666666,0.0,0.0,0.0,0.0,0.0,0.0,10050.0,10050.0,257.35834607999993
22,3:40-3:50,03:40:00,0.4353,3541.2787,0.0,3541.2787,590.2131166666666,0.0,0.0,0.0,0.0,0.0,0.0,10050.0,10050.0,256.919769685
